n_cases,runtime_seconds,days_used,unmatched_to_judges,unmatched_to_rooms,total_meetings
630,14.938382377999915,31,0,0,691
640,16.05121465999946,32,0,0,703
650,17.5478403420002,32,0,0,716
660,18.316105101000176,35,0,0,728
670,18.95351153000047,37,0,0,738
680,19.99725593200037,39,0,0,749
690,19.376457805999962,39,0,0,759
700,19.83661807399949,42,0,0,769
710,20.958348697000474,43,0,0,779
720,21.382670396999856,44,0,0,789
730,22.823835021999912,44,0,0,799
740,23.034085391999724,45,0,0,809
750,24.37603731299987,44,0,0,819
760,25.38025610800014,39,0,0,829
770,25.839575472000433,39,0,0,839
780,26.96491019199948,40,0,0,849
790,27.24831700699997,39,0,0,859
800,29.929643311999826,39,0,0,869
810,30.852903496999716,39,0,0,879
820,32.35249904500051,39,0,0,889
830,31.66210298600072,39,0,0,899
840,33.04039341299995,42,0,0,915
850,34.767362589000186,41,0,0,927
860,37.66847507499915,41,0,0,937
870,39.28689751500042,43,0,0,947
880,40.00505669599988,41,0,0,957
890,39.45081253299941,43,0,0,967
900,42.74944909500027,44,0,0,978
910,42.45168546899913,46,0,0,988
920,45.963198319000185,48,0,0,999
930,49.01871088400003,51,0,0,1009
940,50.93205238900009,49,0,0,1020
950,54.237827001999904,49,0,0,1030
960,53.77113048299998,50,0,0,1040
970,55.57801690999986,52,0,0,1050
980,55.892099513000176,52,0,0,1060
990,56.215984016999755,54,0,0,1070
1000,58.77702776199931,53,0,0,1080
1010,61.176951668000584,55,0,0,1091
1020,62.591719631999695,56,0,0,1101
1030,65.76190766499985,56,0,0,1112
1040,67.78277748300025,57,0,0,1123
1050,67.56328926700007,56,0,0,1133
1060,73.31312359900039,54,0,0,1155
1070,74.82814668999981,53,0,0,1165
1080,77.00544930899923,55,0,0,1180
1090,80.8668100570003,54,0,0,1191
1100,82.09581753800012,55,0,0,1201
1110,84.09241759399993,55,0,0,1211
1120,84.77904915900035,60,0,0,1221
1130,89.79995236800005,66,0,0,1231
1140,92.68003930099985,69,0,0,1241
1150,95.35227259800104,68,0,0,1252
1160,96.82493541099939,73,0,0,1262
1170,96.47814778499924,71,0,0,1272
1180,102.04988654999943,71,0,0,1285
1190,105.93403008300083,70,0,0,1301
1200,105.52648035700076,69,0,0,1312
1210,109.61905603299965,70,0,0,1327
1220,109.08404034700106,69,0,0,1337
1230,110.77043520999905,67,0,0,1347
1240,115.03256803300064,67,0,0,1357
1250,119.33199030799915,69,0,0,1367
1260,119.31963327799895,70,0,0,1377
1270,124.87535612899956,74,0,0,1387
1280,131.11623361200145,75,0,0,1397
1290,134.58546191800087,77,0,0,1408
1300,135.27025647200026,78,0,0,1418
1310,139.58243087099981,79,0,0,1428
1320,143.89491811600055,80,0,0,1438
1330,147.78685853999923,79,0,0,1448
1340,145.33575386200027,77,0,0,1458
1350,149.96182124500046,77,0,0,1477
1360,155.89383750600064,77,0,0,1487
1370,158.3064667710005,77,0,0,1497
1380,164.47012853100023,74,0,0,1509
1390,163.42557578699962,73,0,0,1520
1400,171.43831668699931,73,0,0,1530
1410,177.3647975219992,73,0,0,1541
1420,179.98506309799996,73,0,0,1552
1430,183.6697820069985,74,0,0,1562
1440,185.15056335600093,78,0,0,1573
1450,191.7272710670004,81,0,0,1584
1460,200.8223620230001,81,0,0,1601
1470,202.20140965999963,83,0,0,1612
1480,203.84728071099926,84,0,0,1622
1490,208.0454884849987,86,0,0,1633
1500,222.4460564559995,87,0,0,1648
